date,value,series_index,series_label,chart_id,chart_name_en,source,ingested_at
1988-05-01,3233.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-06-01,3424.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-07-01,3299.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-08-01,3252.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-09-01,3363.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-10-01,3139.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-11-01,3246.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1988-12-01,3242.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-01-01,3410.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-02-01,3215.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-03-01,3132.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-04-01,3060.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-05-01,2949.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-06-01,2702.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-07-01,2520.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-08-01,2445.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-09-01,2356.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-10-01,2199.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-11-01,2137.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1989-12-01,1943.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-01-01,2016.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-02-01,2006.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-03-01,2028.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-04-01,1895.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-05-01,1929.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-06-01,1836.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-07-01,1768.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-08-01,1498.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-09-01,1160.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-10-01,890.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-11-01,463.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1990-12-01,311.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-01-01,-144.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-02-01,-697.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-03-01,-1070.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-04-01,-1321.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-05-01,-1598.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-06-01,-1524.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-07-01,-1532.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-08-01,-1305.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-09-01,-1185.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-10-01,-1010.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-11-01,-917.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1991-12-01,-836.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-01-01,-663.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-02-01,-421.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-03-01,-209.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-04-01,161.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-05-01,413.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-06-01,383.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-07-01,487.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-08-01,622.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-09-01,626.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-10-01,790.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-11-01,985.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1992-12-01,1171.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-01-01,1428.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-02-01,1733.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-03-01,1630.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-04-01,1779.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-05-01,1919.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-06-01,2033.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-07-01,2263.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-08-01,2282.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-09-01,2485.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-10-01,2591.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-11-01,2715.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
1993-12-01,2816.0,0,series_0,171,US - Nonfarm Payrolls (Yearly Change) vs. GDP,macromicro,2026-03-30T13:55:30Z
